s_bp	balanced.avg.smoothed	label
2000000	0.01475926489672078	Brain
3000000	0.01314977286093237	Brain
4000000	0.011914863809534146	Brain
5000000	0.011021967369290646	Brain
6000000	0.010354937757833579	Brain
7000000	0.009834977429424515	Brain
8000000	0.009418405076081082	Brain
9000000	0.00907856532396032	Brain
10000000	0.008797394979010366	Brain
11000000	0.008561499590530567	Brain
12000000	0.008360506556516536	Brain
13000000	0.008186375308454919	Brain
14000000	0.008032979685218598	Brain
15000000	0.007895727026088211	Brain
16000000	0.007771235920855472	Brain
17000000	0.007657051379478399	Brain
18000000	0.007551403515801889	Brain
19000000	0.007453030888019528	Brain
20000000	0.007361039082349389	Brain
21000000	0.007274777505870143	Brain
22000000	0.007193764470819203	Brain
23000000	0.0071176221467104	Brain
24000000	0.007046035909716159	Brain
25000000	0.006978723567646836	Brain
26000000	0.006915422129493905	Brain
27000000	0.006855879328235455	Brain
28000000	0.006799848267423336	Brain
29000000	0.006747089784628071	Brain
30000000	0.006697375246069069	Brain
31000000	0.006650485537614623	Brain
32000000	0.006606215771755747	Brain
33000000	0.00656437709812887	Brain
34000000	0.006524794657142017	Brain
35000000	0.006487309455033219	Brain
36000000	0.00645177874220715	Brain
37000000	0.006418071494672663	Brain
38000000	0.0063860692496083135	Brain
39000000	0.006355664975584384	Brain
40000000	0.006326758538889756	Brain
41000000	0.006299257344149398	Brain
42000000	0.0062730738845165005	Brain
43000000	0.006248125549424318	Brain
44000000	0.006224562327562516	Brain
45000000	0.0062016145533488375	Brain
46000000	0.00618009353590389	Brain
47000000	0.006159107664709684	Brain
48000000	0.006139324648872425	Brain
49000000	0.006120011151885774	Brain
50000000	0.006101674425366312	Brain
51000000	0.00608375414649058	Brain
52000000	0.006066586901313466	Brain
53000000	0.0060497937395527866	Brain
54000000	0.0060335382487385365	Brain
55000000	0.0060176235242349755	Brain
56000000	0.006002047158141473	Brain
57000000	0.005986785749687448	Brain
58000000	0.005971684862393424	Brain
59000000	0.005956879242012087	Brain
60000000	0.005942081427684265	Brain
61000000	0.005927564070696659	Brain
62000000	0.005912930432292927	Brain
63000000	0.005898566206893724	Brain
64000000	0.005883989907481273	Brain
65000000	0.005869674793759141	Brain
66000000	0.005855080166254656	Brain
67000000	0.005840740489887721	Brain
68000000	0.005826080075344746	Brain
69000000	0.005811669685678708	Brain
70000000	0.005796920500408442	Brain
71000000	0.005782417169593508	Brain
72000000	0.005767577689449218	Brain
73000000	0.0057529801971646765	Brain
74000000	0.005738066275024522	Brain
75000000	0.005723390433852208	Brain
76000000	0.005708431168634921	Brain
77000000	0.0056937057912152785	Brain
78000000	0.005678740855158455	Brain
79000000	0.005664005145225342	Brain
80000000	0.005649080763297127	Brain
81000000	0.005634380377919009	Brain
82000000	0.00561954718072678	Brain
83000000	0.005604932127760044	Brain
84000000	0.005590242508024845	Brain
85000000	0.005575764552795784	Brain
86000000	0.005561270303456208	Brain
