s_bp	balanced.avg.smoothed	label
2000000	0.013859448771552534	Other
3000000	0.012347954552179543	Other
4000000	0.011258977961551543	Other
5000000	0.010508465648363226	Other
6000000	0.009971162359856608	Other
7000000	0.009566413447270546	Other
8000000	0.009247346619077074	Other
9000000	0.008987385620732754	Other
10000000	0.008770940229432374	Other
11000000	0.008587676301866104	Other
12000000	0.008429985016112352	Other
13000000	0.008292012888902757	Other
14000000	0.008169231745926233	Other
15000000	0.008058168864719316	Other
16000000	0.007956222471980618	Other
17000000	0.007861495241276984	Other
18000000	0.007772636416580892	Other
19000000	0.007688713702897146	Other
20000000	0.007609101657254219	Other
21000000	0.007533379482501989	Other
22000000	0.007461266316004809	Other
23000000	0.007392564208925179	Other
24000000	0.007327120977888714	Other
25000000	0.007264801281118327	Other
26000000	0.007205472872008765	Other
27000000	0.007148997131906388	Other
28000000	0.007095223943938726	Other
29000000	0.007043993788667366	Other
30000000	0.006995141465460423	Other
31000000	0.006948497372917106	Other
32000000	0.006903894365282106	Other
33000000	0.006861171949343244	Other
34000000	0.006820177510308091	Other
35000000	0.006780770386090358	Other
36000000	0.006742824235351842	Other
37000000	0.006706224637268252	Other
38000000	0.00667087091812862	Other
39000000	0.006636675636408766	Other
40000000	0.006603560815389758	Other
41000000	0.006571458399438491	Other
42000000	0.0065403077547440324	Other
43000000	0.00651005505206248	Other
44000000	0.0064806562658436045	Other
45000000	0.006452046507227365	Other
46000000	0.006424200401232355	Other
47000000	0.006397069517019487	Other
48000000	0.0063706023028321426	Other
49000000	0.00634478698813758	Other
50000000	0.006319532409322315	Other
51000000	0.006294875512939845	Other
52000000	0.006270672715844409	Other
53000000	0.0062470213686597565	Other
54000000	0.006223716068785667	Other
55000000	0.006200922980166227	Other
56000000	0.006178371822065009	Other
57000000	0.006156299670398573	Other
58000000	0.006134373508542297	Other
59000000	0.006112898273597186	Other
60000000	0.006091484580194052	Other
61000000	0.006070498013047503	Other
62000000	0.0060495039414747275	Other
63000000	0.006028916662911403	Other
64000000	0.0060082686739985	Other
65000000	0.005988009902739182	Other
66000000	0.005967654296782551	Other
67000000	0.00594767244660703	Other
68000000	0.005927573889078443	Other
69000000	0.005907835190341476	Other
70000000	0.005887974411672804	Other
71000000	0.0058684607101735994	Other
72000000	0.0058488330353628415	Other
73000000	0.0058295403915194135	Other
74000000	0.005810152977828078	Other
75000000	0.005791088991351211	Other
76000000	0.00577195783902516	Other
77000000	0.005753138742037832	Other
78000000	0.005734287236797284	Other
79000000	0.005715736481504906	Other
80000000	0.005697192162528057	Other
81000000	0.0056789372638141695	Other
82000000	0.005660730590540272	Other
83000000	0.005642801923969873	Other
84000000	0.005624964272312499	Other
85000000	0.005607393112944559	Other
86000000	0.005589954891620621	Other
87000000	0.005572771567047304	Other
88000000	0.005555753319268259	Other
89000000	0.00553897846590319	Other
90000000	0.005522440849244604	Other
91000000	0.005506130817963232	Other
92000000	0.005490046425861046	Other
93000000	0.005474182149161005	Other
94000000	0.005458625611384682	Other
95000000	0.005443277205908314	Other
96000000	0.005428132000799156	Other
97000000	0.0054133609954376835	Other
98000000	0.00539878106911261	Other
99000000	0.0053843878377113855	Other
100000000	0.005370421024291299	Other
101000000	0.005356628876967224	Other
102000000	0.005343007514187286	Other
103000000	0.005329850929476097	Other
104000000	0.0053168533924370055	Other
105000000	0.005304011478558799	Other
106000000	0.005291659879116536	Other
107000000	0.0052794526187091625	Other
108000000	0.005267386685096654	Other
109000000	0.005255825217642102	Other
110000000	0.0052443943658793115	Other
111000000	0.005233091486720948	Other
112000000	0.0052222974690167385	Other
113000000	0.00521162136780175	Other
114000000	0.0052010608683829805	Other
115000000	0.005191005683323393	Other
116000000	0.005181056745244428	Other
117000000	0.005171212029982483	Other
118000000	0.005161862262657653	Other
119000000	0.005152608088733081	Other
120000000	0.0051434477397692795	Other
121000000	0.005134767350107955	Other
122000000	0.005126172874039633	Other
123000000	0.005117662767408801	Other
124000000	0.005109613857749599	Other
125000000	0.0051016421056940715	Other
126000000	0.0050937461631538235	Other
127000000	0.00508629012269206	Other
128000000	0.00507890334743899	Other
129000000	0.005071584660287581	Other
130000000	0.00506473975321704	Other
131000000	0.0050579564304581055	Other
132000000	0.005051233674122694	Other
133000000	0.0050445704906971565	Other
134000000	0.0050384022937602834	Other
135000000	0.005032287415665113	Other
136000000	0.005026225005648365	Other
137000000	0.00502021423265138	Other
138000000	0.005014658446260463	Other
139000000	0.0050091488562812635	Other
