chrom,start,end,E1,E2,E3,start_bin
chr13,4000000,5000000,-0.5664675413903584,-0.1755249226310186,1.212142623329124,chr13_4
chr13,63000000,64000000,-0.6390414529249354,0.1850512537633801,0.4766458197019202,chr13_63
chr13,64000000,65000000,-0.7073690996182415,0.2059842182001025,0.2577638927376795,chr13_64
chr13,65000000,66000000,-0.7444859458950291,0.0858054637137958,0.1049982945818028,chr13_65
chr13,33000000,34000000,-0.4822464999668157,0.2390532739853992,0.6583815496969566,chr13_33
chr13,66000000,67000000,-0.6787349344878949,0.0138286200768964,0.0127166556944735,chr13_66
chr13,13000000,14000000,-0.791280061734116,-0.0098037912917726,0.2267627989947669,chr13_13
chr13,62000000,63000000,-0.4565988941996229,0.2487819312528857,0.4042586755796561,chr13_62
chr12,6000000,7000000,-0.618994376672592,-0.5124775392822174,0.9918277387760044,chr12_6
chr13,119000000,120000000,-0.8597773301526881,0.0335468812287033,-0.1848810905776447,chr13_119
chr13,61000000,62000000,-0.3784645416736695,0.1633477076893965,0.2080990896768108,chr13_61
chr13,12000000,13000000,-0.5238584456724183,0.0501299696125886,0.5389677397740208,chr13_12
chr12,7000000,8000000,-0.4995060154983933,-0.5204794586470001,0.7896679220355777,chr12_7
chr19,59000000,60000000,-0.1884696057802432,0.8724978429595212,0.5472700107666805,chr19_59
chr13,60000000,61000000,-0.2993169550314069,0.2454881196719332,0.1950593720388609,chr13_60
chr12,5000000,6000000,-0.3024044275990094,-0.3840272509552819,0.755049980723528,chr12_5
chr13,32000000,33000000,-0.3011823315537379,0.3656858830694764,0.5323099619528011,chr13_32
chr13,5000000,6000000,-0.1758233867673763,-0.3419222171131406,1.0039027930970637,chr13_5
chr13,6000000,7000000,-0.2444842032240338,-0.1537624032234597,0.8745481751020735,chr13_6
chr10,5000000,6000000,-0.3579682719171333,0.2037955411412604,0.96682133426023,chr10_5
chr12,49000000,50000000,-0.8356850595450567,-0.3723480730195196,-0.841684647764488,chr12_49
chr13,67000000,68000000,-0.4339871519124199,-0.194154358231359,0.0304643995142078,chr13_67
chr19,10000000,11000000,0.8984828258585797,0.0446566085884131,-0.6636342691734933,chr19_10
chr12,48000000,49000000,-0.6753594544914242,-0.1501640771743768,-0.8554073872528534,chr12_48
chr15,3000000,4000000,1.3649066997073414,-0.2041116549656134,-1.8266638221871996,chr15_3
chr13,68000000,69000000,-0.4243944046173556,-0.2192074724020891,0.0760726397494705,chr13_68
