chrom,start,end,E1,E2,E3,start_bin
chr14,124000000,125000000,1.0365826511914755,-1.247156015856736,-0.1156067414299914,chr14_124
chr14,123000000,124000000,0.5728205829524295,-1.0754723271459792,0.1208036744870625,chr14_123
chr9,123000000,124000000,0.6188679944008237,-0.6751777974503469,-0.4573588925536673,chr9_123
chr8,126000000,127000000,-0.7084713102701217,1.260657109585033,1.079270931456477,chr8_126
chr8,127000000,128000000,-0.9302808715857972,1.3104978086537544,1.345349480524722,chr8_127
chr16,4000000,5000000,0.8407007006726298,0.1663592734792421,0.9091102996123712,chr16_4
chr19,44000000,45000000,0.0512871067347804,-0.0217759154115336,-0.0264843431442669,chr19_44
chr11,111000000,112000000,0.6041743480927696,-0.0509107695374892,-0.1309437142195864,chr11_111
chr11,112000000,113000000,0.6191807113568295,-0.150798485511172,-0.2790021069821261,chr11_112
chr4,113000000,114000000,-0.5738571668020929,0.3296059639895023,-0.2529352292567058,chr4_113
chr18,22000000,23000000,0.412591894804887,-0.3919037725254617,-0.1066977033280818,chr18_22
chr18,5000000,6000000,0.2318511041977717,-0.1671414240494084,0.6879317519630364,chr18_5
chr5,145000000,146000000,0.5986627893421024,-0.6491560238238919,-0.4607969942088137,chr5_145
chr2,36000000,37000000,0.0809202947100904,-0.4584974526164723,0.5509070188635345,chr2_36
chr9,122000000,123000000,0.9821770824014434,-0.1321356368341484,-0.189222909163272,chr9_122
chr4,122000000,123000000,-0.296343588546622,0.6003786870706818,-0.3793693990083711,chr4_122
chr12,23000000,24000000,1.2214860522481643,0.0667613906244884,0.1382606265422221,chr12_23
chr18,23000000,24000000,0.4487323683379718,-0.3545290451373166,0.0122365274519337,chr18_23
chr14,8000000,9000000,0.7194673950106829,0.1104013033801649,-0.6948528464702385,chr14_8
chr19,45000000,46000000,0.2589754350081396,0.0202557431492932,-0.1956306153526088,chr19_45
chr5,146000000,147000000,0.5921141225430854,-0.2482606093752128,-0.3061561879740256,chr5_146
chr4,112000000,113000000,-0.5555796220838376,0.1781984122296391,-0.2173951201319748,chr4_112
chr4,141000000,142000000,0.1268268242702215,1.0480550610824833,0.1660657275267606,chr4_141
chr14,38000000,39000000,0.2325632499688385,-0.3431214922617902,-0.4520948938646966,chr14_38
chr4,121000000,122000000,-0.2462126509962091,0.6583802091938546,-0.4728652614346045,chr4_121
chr8,125000000,126000000,-0.1448782219044818,1.098348239979062,0.5659060488323638,chr8_125
chr2,37000000,38000000,0.193828889065695,-0.4854546316518874,0.594678772261906,chr2_37
chr9,4000000,5000000,-0.5982981783459049,-0.6525274296274518,0.7657320878543211,chr9_4
chr14,9000000,10000000,0.6275577116325267,0.1881516050672169,-0.5611179595984441,chr14_9
chr9,5000000,6000000,-0.9658937014546096,0.1569500795630518,-0.2329464269542098,chr9_5
chr11,88000000,89000000,0.6548862751181945,0.6238062624630416,-0.1424475180453085,chr11_88
chr8,12000000,13000000,0.3877010683883377,0.9165884605304272,0.3385344471858296,chr8_12
chr9,36000000,37000000,-0.8259336945631225,-0.0466623502948822,-0.0484964201378731,chr9_36
chr12,114000000,115000000,1.1888639615169931,0.0245006409374127,0.1437338343984857,chr12_114
chr12,92000000,93000000,0.3998050291791909,-0.0366536395123154,-0.3283788413016951,chr12_92
chr4,46000000,47000000,1.2291622940152056,-0.2110903014496345,-0.1068163486962646,chr4_46
chr14,10000000,11000000,0.5268239160435556,0.1205796773744117,-0.4995356219813291,chr14_10
chr12,93000000,94000000,0.4138235438786337,-0.1011790791292772,-0.2931768258664675,chr12_93
chr9,38000000,39000000,-0.8994936858369941,0.1119172327654619,-0.1540356159812902,chr9_38
chr12,55000000,56000000,-0.4998588628148755,-0.3551532784598542,0.1255370687826414,chr12_55
chr8,84000000,85000000,0.5320504060404078,0.8616595933592619,-0.4743729089396685,chr8_84
chr11,120000000,121000000,0.6719972460405359,-0.2074406717525344,-0.4863804731388086,chr11_120
chr9,19000000,20000000,-0.936592876239921,-0.2879662598785917,0.0171225232525685,chr9_19
chr11,110000000,111000000,0.5850561566640676,-0.1356640812504529,-0.1257869391599854,chr11_110
chr14,39000000,40000000,0.2516375314080953,-0.3852354665941229,-0.4045470550158432,chr14_39
chr19,28000000,29000000,1.04018273465277,-0.0352805440475279,-0.2858416593701008,chr19_28
chr4,155000000,156000000,0.7469882332941247,1.1410400056351693,-0.2014603357819536,chr4_155
chr17,5000000,6000000,0.3338924509884415,0.5907521213705746,0.3318641848685622,chr17_5
chr12,115000000,116000000,1.0912533291460085,-0.1808240017812113,-0.0674678612100654,chr12_115
chr8,24000000,25000000,0.0772114048937516,0.7627948847086783,0.4540693729439605,chr8_24
chr12,53000000,54000000,0.1512299919378343,0.1694781449507195,0.3640444774254212,chr12_53
chr19,46000000,47000000,0.3753815408590605,0.2382354175099887,-0.1819167902139957,chr19_46
chr13,119000000,120000000,-1.020320974710124,0.2646438581645965,-0.5176563115354637,chr13_119
chr5,150000000,151000000,0.8307336711579325,-0.549023483506919,0.2373126069319923,chr5_150
chr4,44000000,45000000,1.7410402770334463,-0.1002975776530358,-0.3305945204652849,chr4_44
chr12,96000000,97000000,0.3656320486193306,-0.1453079994594799,-0.3370761558504554,chr12_96
chr12,27000000,28000000,-0.4878529331513536,0.464866011406861,0.3098249908241394,chr12_27
chr11,109000000,110000000,0.580308352644963,-0.1437277872230938,-0.182870176477682,chr11_109
chr16,26000000,27000000,0.2933405700864748,-0.2390206496652363,0.4321355768145496,chr16_26
chr9,6000000,7000000,-0.9413591780437464,0.24988744967731,-0.2299236456869526,chr9_6
chr18,21000000,22000000,0.1813127815114742,-0.3524285358553973,0.0646966914023584,chr18_21
chr16,27000000,28000000,0.0291703775562376,-0.1446022534457571,0.6795383485742699,chr16_27
chr8,23000000,24000000,0.0359481024483577,0.7089384928149801,0.5910272363721542,chr8_23
chr12,97000000,98000000,0.2842066695226326,-0.069987821385556,-0.4650875319759369,chr12_97
chr7,4000000,5000000,-0.7144634213894832,1.3017404167896711,0.3473908799842817,chr7_4
chr13,112000000,113000000,0.8752574521903741,-0.0523778449970058,-0.6619577425906861,chr13_112
chr8,25000000,26000000,0.1172757563536528,0.813319324698937,0.4589658844160391,chr8_25
chr14,7000000,8000000,0.9204598461713503,-0.7085512841770607,-0.2391498807886608,chr14_7
chr12,94000000,95000000,0.3971691257795683,-0.0602951163461933,-0.2679413978032296,chr12_94
chr12,95000000,96000000,0.4055892395475038,-0.0886061333271818,-0.2448059137682031,chr12_95
chr16,15000000,16000000,0.6002539127895118,-0.2033728776821353,0.3612519907306311,chr16_15
chr4,143000000,144000000,-0.4104514655781028,0.849966810978299,-0.1320681289798702,chr4_143
chr12,20000000,21000000,0.8519663049638946,0.0025111753273174,0.119896423871649,chr12_20
chr18,6000000,7000000,0.0332125813079523,-0.1616272463485422,0.5489318555686472,chr18_6
chr4,114000000,115000000,-0.3955674956770503,-0.0057022133557726,-0.0156420134372474,chr4_114
chr9,37000000,38000000,-0.8411364639146298,0.1999105791587931,-0.077444333285078,chr9_37
chr12,56000000,57000000,-0.4714843263290091,-0.4550504980248798,-0.1669412129011959,chr12_56
chr16,25000000,26000000,0.4391089045395532,-0.1806601232014067,0.1684101435318051,chr16_25
chr2,149000000,150000000,-0.3698754794057178,0.7168423680098942,0.0822381414626665,chr2_149
chr12,52000000,53000000,-0.0470823253607315,0.1857440469996739,0.3927700689101072,chr12_52
chr7,5000000,6000000,-0.825699366697427,1.087510335154525,0.1365760288291977,chr7_5
chr7,6000000,7000000,-0.7606532309727521,0.9717886827642048,0.0081149543772535,chr7_6
chr14,36000000,37000000,0.3422252059760791,-0.2429890076973895,-0.5253245909128049,chr14_36
chr19,37000000,38000000,0.1990684651498107,0.284081881584295,0.20563194265176,chr19_37
chr14,11000000,12000000,0.4534694908406015,0.1888347144987304,-0.6029952222335291,chr14_11
chr12,28000000,29000000,-0.4604850364464855,0.4218032469976956,0.2390704452784412,chr12_28
chr14,122000000,123000000,0.2354783829851491,-0.6654043186442632,0.3070547735359875,chr14_122
chr2,89000000,90000000,-0.1318790643175547,-0.2647070739650386,-0.4325387060572085,chr2_89
chr12,19000000,20000000,0.7655212547080309,0.0816300721464103,0.0627222833845074,chr12_19
chr14,37000000,38000000,0.2001419140609739,-0.1930880031435879,-0.4222408012048247,chr14_37
chr12,113000000,114000000,1.0526128234615708,-0.047355459440603,0.1969797088096352,chr12_113
chr17,50000000,51000000,-0.6204984913288978,0.2373552742922403,0.4550051115023515,chr17_50
chr7,140000000,141000000,0.4367544122995597,0.989235928720408,0.4045359820472524,chr7_140
chr3,157000000,158000000,-0.3274720574447625,1.0125227734266318,0.2871177561940706,chr3_157
chr3,158000000,159000000,-0.5154756834306841,0.8066837757394779,-0.5158081454155821,chr3_158
chr5,149000000,150000000,0.8558865040038302,0.0770520355146885,0.4071326802232636,chr5_149
chr2,150000000,151000000,-0.2846963094134934,0.6932112554648677,0.0805897220709393,chr2_150
chr14,40000000,41000000,0.2511318039895683,-0.412896419680712,-0.4717457292946684,chr14_40
chr2,87000000,88000000,-0.2070576935483727,-0.2415489724204522,-0.5069347432680659,chr2_87
chr5,147000000,148000000,0.6656574954136711,-0.1541426514565832,-0.2447961319012642,chr5_147
chr12,25000000,26000000,-0.5384979527753648,0.3283491381203161,0.1555124734933704,chr12_25
chr2,88000000,89000000,-0.187035149785526,-0.2547725466504233,-0.4680999913986293,chr2_88
chr9,20000000,21000000,-0.5527155371986752,-0.346582763489233,0.1786190232426093,chr9_20
chr12,54000000,55000000,0.0387844183472594,0.0944015815606196,0.3187009388656301,chr12_54
chr18,9000000,10000000,0.1671133136628506,-0.4160602903930609,0.2881593223003256,chr18_9
chr8,128000000,129000000,-0.8634318973994457,0.7776199104619679,0.6051051171257502,chr8_128
chr14,69000000,70000000,0.3327208569663097,-0.5472367017983184,0.1744453746054225,chr14_69
chr11,89000000,90000000,0.5234255102929278,0.2036785971720402,-0.1667034092500136,chr11_89
chr18,12000000,13000000,0.5202958846481498,-0.2866231885407627,0.52745554736183,chr18_12
chr16,14000000,15000000,0.5768999668465212,-0.2139908285075885,0.3390804607369403,chr16_14
chr3,93000000,94000000,0.1526230517883034,-0.2121174483425542,-0.4062306880265321,chr3_93
chr12,31000000,32000000,-0.4388055147927872,-0.3755614487394649,0.0182720134225849,chr12_31
chr12,26000000,27000000,-0.4645049843213136,0.3427695519521911,0.1752014484776933,chr12_26
chr14,35000000,36000000,0.3004074931985659,-0.3537584521296804,-0.4296909067920204,chr14_35
chr12,21000000,22000000,0.7282592480077152,0.0587525980895126,0.0578712078408526,chr12_21
chr11,91000000,92000000,0.3241579906606296,-0.072014301626247,-0.3430686054649917,chr11_91
chr13,111000000,112000000,0.8926879743416394,-0.1719616128406512,-0.7524100934498001,chr13_111
